127.0.0.1 - - [22/Oct/2024:14:46:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:46:48 +0530] "GET /Care-India/ HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:46:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Oct/2024:14:47:16 +0530] "GET /Care-India/donations.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:01:22 +0530] "GET /Care-India/ HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:02:29 +0530] "GET /Care-India/ HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:03:15 +0530] "GET /Care-India/ HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:04:03 +0530] "GET /Care-India/ HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:04:09 +0530] "GET /Care-India/ HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:04:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:05:01 +0530] "GET /Care-India/ HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:05:39 +0530] "GET /Care-India/ HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:06:24 +0530] "GET /Care-India/ HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:07:06 +0530] "GET /Care-India/ HTTP/1.1" 200 4153
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:08:25 +0530] "GET /Care-India/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:08:40 +0530] "GET /Care-India/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:18:19 +0530] "GET /Care-India/ HTTP/1.1" 200 4626
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:19:06 +0530] "GET /Care-India/ HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:19:12 +0530] "GET /Care-India/ HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:19:23 +0530] "GET /Care-India/about.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:22:26 +0530] "GET /Care-India/ HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:23:52 +0530] "GET /Care-India/ HTTP/1.1" 200 4639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:24:06 +0530] "GET /Care-India/ HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:24:31 +0530] "GET /Care-India/ HTTP/1.1" 200 4620
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:25:33 +0530] "GET /Care-India/ HTTP/1.1" 200 4649
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:26:15 +0530] "GET /Care-India/ HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:26:33 +0530] "GET /Care-India/ HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:26:36 +0530] "GET /Care-India/ HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:26:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:26:54 +0530] "GET /Care-India/ HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:27:31 +0530] "GET /Care-India/ HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:27:33 +0530] "GET /Care-India/ HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:28:42 +0530] "GET /Care-India/ HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:29:31 +0530] "GET /Care-India/ HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:29:53 +0530] "GET /Care-India/ HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:30:19 +0530] "GET /Care-India/ HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:31:26 +0530] "GET /Care-India/ HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:31:51 +0530] "GET /Care-India/ HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:35:21 +0530] "GET /Care-India/ HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:39:06 +0530] "GET /Care-India/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:40:19 +0530] "GET /Care-India/about.jsp HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:40:51 +0530] "GET /Care-India/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:41:12 +0530] "GET /Care-India/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:42:14 +0530] "GET /Care-India/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:42:18 +0530] "GET /Care-India/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:42:21 +0530] "GET /Care-India/ HTTP/1.1" 200 5639
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:42:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:42:36 +0530] "GET /Care-India/ HTTP/1.1" 200 5656
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:42:48 +0530] "GET /Care-India/ HTTP/1.1" 200 5656
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:45:14 +0530] "GET /Care-India/ HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:45:27 +0530] "GET /Care-India/ HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:45:37 +0530] "GET /Care-India/ HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:45:50 +0530] "GET /Care-India/ HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [22/Oct/2024:15:45:53 +0530] "GET /Care-India/ HTTP/1.1" 200 5675
