127.0.0.1 - - [31/Oct/2024:16:59:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:13 +0530] "GET /Care-India/ HTTP/1.1" 200 19233
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/images/children.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/images/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/images/oldPeople.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:14 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:18 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:18 +0530] "GET /Care-India/join_us.jsp HTTP/1.1" 200 28576
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:19 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:19 +0530] "GET /Care-India/images/join_us.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:19 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:19 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:34 +0530] "POST /Care-India/PaymentServlet HTTP/1.1" 200 19227
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:34 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:34 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:34 +0530] "GET /Care-India/images/razorpay.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2024:16:59:34 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:01:18 +0530] "POST /Care-India/PaymentServlet HTTP/1.1" 200 19227
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:01:18 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:01:18 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:01:18 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:02:36 +0530] "POST /Care-India/PaymentServlet HTTP/1.1" 200 19227
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:02:36 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:02:36 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:02:36 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [31/Oct/2024:17:02:53 +0530] "GET /Care-India/images/orphanage.jpeg HTTP/1.1" 304 -
