127.0.0.1 - - [03/Nov/2024:12:45:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:32 +0530] "GET /Care-India/ HTTP/1.1" 200 19519
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:33 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:33 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:33 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:40 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:40 +0530] "GET /Care-India/join_us.jsp HTTP/1.1" 200 28977
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:40 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:40 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:40 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:45 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18194
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:45 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:45 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:45 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:49 +0530] "GET /Care-India/join_us.jsp HTTP/1.1" 200 28977
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:45:49 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:10 +0530] "POST /Care-India/PaymentServlet HTTP/1.1" 200 19596
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:10 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:11 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:11 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:42 +0530] "POST /Care-India/saveDonor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:42 +0530] "GET /Care-India/donors.jsp HTTP/1.1" 200 18288
0:0:0:0:0:0:0:1 - - [03/Nov/2024:12:46:42 +0530] "GET /Care-India/path/to/core.js HTTP/1.1" 404 789
